bread,,,,,,,,,,,
bread_knife,,,,,,,,,,,
bread_plate,,,,,,,,,,,
fork,030_fork,,,,,,,,,,
knife,032_knife,,,,,,,,,,
pepper_shaker,,,,,,,,,,,
plate,029_plate,,,,,,,,,,round_plate_4
salad_plate,029_plate,,,,,,,,,,
salt_shaker,,,,,,,,,,,
soup_bowl,024_bowl,,,,,,,,,,
spoon,031_spoon,,,,,,,,,,
water_glass,,,,,,,,,,,
wine,,,,,,,,,,,
wine_glass,023_wine_glass,,,,,,,,,,
book,,,,,,,,,,,
calander,,,,,,,,,,,
coffee,,,,,,,,,,,
flower_pot,,,,,,,,,,,
laptop,,,,,,,,,,,
mugcup,025_mug,,,,,,,,,,
pen,,,,,,,,,,,
pen_stand,,,,,,,,,,,
scissors,037_scissors,,,,,,,,,,
stand,,,,,,,,,,,
table_clock,,,,,,,,,,,
tabletop_bookshelf,,,,,,,,,,,
tissue_box,,,,,,,,,,,
tumbler,,,,,,,,,,,
driver,043_phillips_screwdriver,044_flat_screwdriver,,,,,,,,,
duct_tape,,,,,,,,,,,
hammer,048_hammer,,,,,,,,,,
pliers,,,,,,,,,,,
power_drill,035_power_drill,,,,,,,,,,
spring_clamp,049_small_clamp,050_medium_clamp,051_large_clamp,052_extra_large_clamp,,,,,,,
tape_measure,,,,,,,,,,,
wrench,,,,,,,,,,,
apple,013_apple,012_strawberry,011_banana,014_lemon,015_peach,016_pear,017_orange,018_plum,,,
bowl,024_bowl,,,,,,,,,,
magazine,,,,,,,,,,,
saucer,,,,,,,,,,,
tea_pot,,,,,,,,,,,
tea_spoon,031_spoon,,,,,,,,,,
teacup,,,,,,,,,,,
vase,,,,,,,,,,,
wood_tray,,,,,,,,,,,